account_id,customer_id,branch_id,account_type,account_status,balance,opened_date,closed_date
1,6732,53,Savings,Inactive,49380.45,2021-09-12,2025-10-02
2,773,10,Current,Closed,57913.7,2023-10-01,2025-11-09
3,14631,38,Savings,Closed,113336.3,2022-04-04,
4,1681,46,Savings,Closed,18670.37,2025-01-01,2025-04-04
5,14544,3,Savings,Closed,273357.64,2026-01-15,2025-12-26
6,7893,77,Current,Closed,351733.2,2023-08-27,2025-01-23
7,8071,20,Savings,Inactive,113511.57,2023-09-23,
8,1141,89,Current,Inactive,236902.75,2024-08-19,2025-05-20
9,12017,83,Savings,Active,343145.06,2025-04-23,
10,4895,27,Savings,Inactive,119434.67,2022-06-30,2025-01-22
11,2113,61,Savings,Inactive,2850.07,2025-02-22,2025-07-24
12,5215,19,Salary,Active,473845.63,2022-07-11,2025-12-24
13,14023,96,Salary,Closed,337219.5,2021-03-16,2025-12-11
14,4366,100,Savings,Inactive,6413.38,2021-01-18,2026-03-16
15,6401,2,Savings,Inactive,376945.11,2025-11-08,2025-02-15
16,7049,90,Savings,Active,436438.29,2024-09-25,2025-09-20
17,5175,30,Current,Active,460344.37,2025-04-09,2025-09-02
18,5975,11,Salary,Closed,412632.07,2025-09-30,2025-11-18
19,11708,7,Current,Active,438202.43,2024-01-27,2025-04-03
20,1010,20,Savings,Closed,184869.93,2024-06-08,2025-03-20
21,11146,88,Savings,Closed,387165.58,2025-11-17,2025-09-05
22,2489,12,Savings,Inactive,299800.06,2025-03-28,2025-10-11
23,7286,31,Savings,Active,494823.19,2025-09-07,2024-12-13
24,1517,45,Savings,Closed,241930.73,2025-04-19,2025-04-22
25,8421,32,Current,Active,155373.11,2026-03-24,2025-12-05
26,993,65,Salary,Closed,323440.08,2024-02-13,2025-09-11
27,7935,33,Savings,Active,52497.41,2024-04-22,2026-04-03
28,987,11,Savings,Inactive,340707.66,2026-04-12,2025-02-15
29,14615,8,Salary,Closed,451682.78,2021-09-07,2026-02-08
30,7272,81,Savings,Inactive,384708.8,2021-10-02,2025-01-05
31,979,88,Current,Closed,343996.51,2021-06-07,
32,8279,49,Savings,Active,377345.14,2022-03-30,2026-01-07
33,6805,64,Salary,Active,307169.47,2023-08-21,2026-01-12
34,13447,85,Savings,Closed,355878.09,2025-10-01,2025-08-01
35,13637,57,Salary,Inactive,370338.91,2024-06-08,
36,6632,23,Salary,Closed,307848.02,2020-12-12,
37,5467,38,Salary,Active,482758.68,2021-05-26,2025-02-03
38,1549,54,Salary,Inactive,361658.12,2021-12-28,
39,5223,20,Current,Active,465514.77,2025-04-12,
40,14417,12,Salary,Closed,2301.4,2026-01-13,2025-10-04
41,4555,30,Savings,Active,11288.49,2020-12-04,
42,85,45,Salary,Closed,108457.14,2021-11-04,2026-02-21
43,12086,73,Salary,Closed,216105.34,2023-03-31,2025-03-15
