repayment_id,loan_id,paid_amount,due_amount,payment_date,due_date,status
1,9420,12239.98,3437.04,2026-03-24,2026-07-13,Pending
2,3376,28736.13,9201.44,2023-04-28,2026-07-27,Late
3,4994,46043.25,48812.0,2023-08-31,2026-06-07,Late
4,4413,5127.43,46009.41,2025-09-08,2026-06-21,Pending
5,2289,46256.99,30417.01,2025-03-16,2026-06-26,Paid
6,10178,15731.87,24963.03,2025-11-08,2026-06-01,Pending
7,5434,38251.47,26098.58,2022-01-01,2026-06-02,Paid
8,2328,48662.28,39811.34,2021-03-17,2026-06-12,Paid
9,914,26873.65,23106.72,2025-03-17,2026-05-05,Pending
10,2369,18739.65,40403.03,2024-01-09,2026-07-06,Paid
11,5088,10662.17,10070.12,2024-01-22,2026-06-08,Late
12,6895,30035.72,17709.52,2021-01-28,2026-07-02,Paid
13,338,30780.74,4516.08,2023-09-04,2026-07-25,Late
14,13182,15344.78,18192.37,2025-02-06,2026-05-21,Pending
15,11873,25634.28,16842.23,2023-07-07,2026-06-06,Pending
16,823,23357.31,25982.94,2021-04-20,2026-04-27,Pending
17,7967,48767.89,45814.72,2023-11-29,2026-05-07,Paid
18,6264,32824.51,21081.84,2025-05-12,2026-07-09,Paid
19,6425,18355.15,25774.56,2025-09-06,2026-06-26,Pending
20,12815,14592.9,28034.17,2021-08-24,2026-05-27,Pending
21,6320,23182.82,3882.0,2024-11-21,2026-05-21,Paid
22,11568,44414.94,33631.68,2025-10-20,2026-07-04,Paid
23,6478,20938.78,18828.94,2021-10-02,2026-07-12,Pending
24,8417,47574.75,12065.87,2025-05-04,2026-06-09,Paid
25,6653,2992.11,14381.5,2023-11-04,2026-07-13,Pending
26,1912,3021.95,3726.95,2022-09-03,2026-07-30,Pending
27,7099,20567.9,35230.86,2021-02-03,2026-06-17,Paid
28,4926,39462.01,48461.01,2023-02-13,2026-06-10,Pending
29,2142,44447.5,35955.0,2021-01-17,2026-06-05,Pending
30,14083,10594.92,39869.04,2020-11-30,2026-06-01,Pending
31,3027,20626.46,25567.83,2024-02-08,2026-07-23,Late
32,14745,32142.64,3431.81,2022-01-02,2026-05-28,Late
33,5295,46634.08,28116.83,2025-03-17,2026-07-31,Late
34,9531,47256.93,12999.35,2022-08-17,2026-06-19,Late
35,12670,4054.97,26635.31,2023-05-12,2026-07-21,Late
36,4768,8876.96,29870.82,2021-03-14,2026-06-16,Late
37,12824,13841.07,49273.47,2023-01-25,2026-06-17,Paid
38,3478,9072.47,48112.58,2021-06-18,2026-07-04,Pending
39,3240,12086.41,14273.26,2020-11-27,2026-07-28,Late
40,11399,11267.23,17028.94,2023-09-21,2026-06-30,Paid
41,12692,22278.37,2155.37,2024-07-23,2026-05-09,Late
42,11134,41340.86,7912.56,2023-02-22,2026-06-03,Paid
