loan_id,customer_id,branch_id,loan_type,principal,interest_rate,tenure_months,disbursed_date,due_date,status
1,9489,18,Personal,849441.09,11.37,14,2025-05-14,2028-07-05,Active
2,11720,63,Home,141471.49,12.0,31,2024-06-30,2028-10-13,Closed
3,8353,7,Personal,772433.0,10.75,47,2022-02-15,2028-08-01,Closed
4,1169,80,Home,167868.5,10.17,36,2025-12-05,2027-10-29,Default
5,1912,14,Home,783651.9,12.64,12,2024-04-04,2026-11-30,Active
6,430,14,Home,633700.47,10.93,22,2023-06-20,2027-12-16,Closed
7,13661,35,Personal,521877.09,8.85,23,2023-12-16,2027-02-28,Closed
8,2420,71,Personal,125607.14,8.25,29,2021-08-07,2027-11-02,Default
9,1415,63,Personal,872573.26,12.37,28,2023-06-01,2027-06-16,Closed
10,5997,75,Home,782045.41,8.37,16,2022-09-17,2027-07-20,Active
11,3097,66,Car,987249.3,8.09,25,2020-12-03,2026-10-27,Active
12,2517,4,Home,540957.08,9.19,35,2021-10-01,2028-05-27,Default
13,6395,39,Car,976560.03,8.27,59,2025-10-17,2027-07-05,Active
14,2291,97,Car,586112.04,9.13,31,2025-08-17,2028-04-19,Closed
15,4602,76,Personal,119606.16,12.86,16,2021-05-02,2028-12-12,Default
16,6548,44,Home,907016.02,10.86,54,2022-12-27,2027-05-28,Closed
17,9050,21,Car,123512.0,10.95,28,2024-07-15,2027-08-28,Default
18,14298,65,Car,389595.62,8.26,50,2021-09-28,2027-06-15,Closed
19,5046,8,Car,65008.18,12.2,12,2023-05-20,2028-02-12,Closed
20,10841,42,Personal,343506.06,12.77,16,2021-07-08,2027-10-28,Default
21,14447,15,Home,270350.27,8.44,15,2021-10-02,2027-12-15,Closed
22,5068,63,Car,432066.73,12.3,37,2024-09-09,2027-08-29,Closed
23,14427,54,Car,310424.93,9.11,56,2023-09-27,2027-01-29,Default
24,13017,43,Personal,776722.75,9.15,54,2024-08-19,2027-08-07,Active
