transaction_id,account_id,transaction_type,amount,balance_after,transaction_date,channel,merchant,description
1,4709,Credit,33.82,96166.06,2020-12-09 06:02:32.529343,UPI,Merchant_221,Transaction_1
2,3739,Debit,7927.39,479805.26,2022-07-06 06:02:32.529355,ATM,,Transaction_2
3,8405,Debit,4015.2,143318.88,2023-05-17 06:02:32.529359,Online,Merchant_151,Transaction_3
4,2729,Debit,7548.63,290420.2,2024-07-28 06:02:32.529364,UPI,Merchant_273,Transaction_4
5,12776,Credit,6243.95,397749.29,2024-06-04 06:02:32.529369,Online,Merchant_475,Transaction_5
6,13344,Credit,319.12,482442.22,2026-04-02 06:02:32.529373,Online,Merchant_386,Transaction_6
7,6105,Debit,8279.92,160192.99,2025-09-30 06:02:32.529377,Online,Merchant_49,Transaction_7
8,13988,Debit,2245.5,58488.45,2020-11-08 06:02:32.529383,Branch,Merchant_462,Transaction_8
9,11857,Debit,9917.76,260910.8,2024-07-31 06:02:32.529388,Branch,Merchant_326,Transaction_9
10,14029,Credit,2672.96,236950.13,2025-04-07 06:02:32.529393,Branch,Merchant_99,Transaction_10
11,10527,Credit,7588.86,15605.9,2021-07-12 06:02:32.529396,Branch,Merchant_247,Transaction_11
12,8934,Credit,5803.01,277102.77,2023-12-04 06:02:32.529400,UPI,Merchant_463,Transaction_12
13,10078,Debit,5034.09,318229.34,2023-10-11 06:02:32.529404,ATM,Merchant_1,Transaction_13
14,7744,Credit,882.19,159033.83,2020-11-21 06:02:32.529407,Branch,Merchant_479,Transaction_14
15,1011,Debit,2939.08,283995.65,2025-06-24 06:02:32.529411,UPI,Merchant_67,Transaction_15
16,1579,Debit,675.6,428371.12,2025-09-17 06:02:32.529415,UPI,Merchant_75,Transaction_16
17,10678,Credit,7465.55,191685.2,2021-04-11 06:02:32.529418,Online,Merchant_33,Transaction_17
18,8544,Credit,4449.96,217020.82,2023-07-14 06:02:32.529421,ATM,Merchant_95,Transaction_18
19,6272,Debit,5906.87,377855.4,2021-11-04 06:02:32.529425,Online,Merchant_229,Transaction_19
20,1085,Debit,6853.84,363001.87,2024-08-20 06:02:32.529428,Branch,Merchant_357,Transaction_20
21,13538,Credit,1279.83,359959.6,2026-02-23 06:02:32.529432,Branch,Merchant_206,Transaction_21
22,2871,Debit,4697.04,293093.52,2024-03-14 06:02:32.529436,ATM,Merchant_449,Transaction_22
23,11312,Debit,7015.33,102154.41,2021-07-09 06:02:32.529439,Online,Merchant_229,Transaction_23
24,14964,Debit,6561.81,194477.67,2021-05-23 06:02:32.529443,Branch,Merchant_411,Transaction_24
25,7886,Debit,9592.23,392336.54,2023-07-12 06:02:32.529446,UPI,Merchant_197,Transaction_25
26,14786,Credit,114.85,100507.92,2024-01-09 06:02:32.529450,UPI,Merchant_313,Transaction_26
27,14959,Debit,3918.96,12841.93,2024-03-16 06:02:32.529453,ATM,,Transaction_27
28,11906,Debit,2774.79,18993.67,2025-07-28 06:02:32.529456,Online,Merchant_98,Transaction_28
29,8633,Debit,795.88,287128.07,2023-07-27 06:02:32.529460,ATM,Merchant_46,Transaction_29
30,6762,Credit,3280.66,153989.82,2025-11-17 06:02:32.529463,UPI,Merchant_486,Transaction_30
31,3289,Credit,1870.45,238912.03,2021-10-24 06:02:32.529466,UPI,Merchant_386,Transaction_31
32,8097,Debit,7329.44,206353.22,2025-09-04 06:02:32.529470,UPI,Merchant_95,Transaction_32
33,798,Debit,1767.81,329615.71,2021-06-02 06:02:32.529473,Online,Merchant_74,Transaction_33
34,13511,Debit,7725.66,282775.87,2021-05-16 06:02:32.529477,UPI,,Transaction_34
35,10129,Debit,2247.83,443600.99,2021-11-20 06:02:32.529480,ATM,,Transaction_35
36,8166,Credit,2251.87,223350.35,2022-09-13 06:02:32.529483,Branch,Merchant_355,Transaction_36
37,562,Debit,5840.56,292739.11,2021-04-18 06:02:32.529487,UPI,Merchant_167,Transaction_37
38,10967,Credit,7274.56,190741.73,2020-12-17 06:02:32.529490,ATM,,Transaction_38
39,7315,Debit,2863.59,139401.55,2024-07-10 06:02:32.529493,ATM,Merchant_142,Transaction_39
40,12107,Credit,4088.31,238834.38,2021-10-25 06:02:32.529497,UPI,Merchant_167,Transaction_40
41,13320,Credit,3600.98,472941.22,2023-03-15 06:02:32.529501,ATM,Merchant_96,Transaction_41
42,1528,Credit,7421.35,407404.68,2025-08-05 06:02:32.529505,Branch,,Transaction_42
43,343,Credit,8925.76,371646.65,2024-11-18 06:02:32.529508,Online,,Transaction_43
44,1257,Debit,2617.42,253360.27,2022-06-05 06:02:32.529511,ATM,Merchant_477,Transaction_44
45,13564,Credit,9383.9,38586.58,2023-06-18 06:02:32.529515,Online,Merchant_355,Transaction_45
46,13996,Debit,3948.57,33599.06,2026-03-28 06:02:32.529519,Online,Merchant_204,Transaction_46
47,5382,Credit,5638.15,438338.97,2026-01-12 06:02:32.529523,UPI,Merchant_451,Transaction_47
48,2504,Credit,1618.23,177224.06,2022-11-14 06:02:32.529527,Online,Merchant_260,Transaction_48
49,11286,Debit,7354.97,38289.05,2025-10-18 06:02:32.529531,Online,,Transaction_49
50,3089,Credit,1081.17,114598.41,2021-07-26 06:02:32.529535,ATM,Merchant_109,Transaction_50
51,3342,Credit,8181.89,312815.82,2022-03-24 06:02:32.529538,ATM,,Transaction_51
52,3287,Debit,1157.22,21701.7,2022-09-18 06:02:32.529542,Online,Merchant_54,Transaction_52
53,1461,Credit,4628.09,360151.19,2025-08-27 06:02:32.529546,UPI,Merchant_269,Transaction_53
54,12980,Debit,1459.65,286717.27,2023-10-11 06:02:32.529549,ATM,Merchant_196,Transaction_54
55,3009,Credit,8030.55,306721.88,2026-04-14 06:02:32.529552,Branch,Merchant_464,Transaction_55
56,8350,Debit,2895.7,381885.71,2022-08-01 06:02:32.529556,ATM,Merchant_286,Transaction_56
57,2910,Debit,9577.18,407487.97,2024-04-04 06:02:32.529559,Online,Merchant_17,Transaction_57
58,12633,Debit,7909.77,121822.28,2025-12-03 06:02:32.529563,Branch,Merchant_190,Transaction_58
59,10306,Credit,7639.68,158150.85,2024-05-09 06:02:32.529566,ATM,Merchant_264,Transaction_59
60,10409,Credit,8573.24,116178.52,2022-12-14 06:02:32.529570,UPI,Merchant_277,Transaction_60
61,10327,Credit,855.63,337248.1,2023-02-16 06:02:32.529573,Branch,Merchant_303,Transaction_61
62,10744,Credit,5105.18,93511.16,2024-08-18 06:02:32.529577,Branch,Merchant_346,Transaction_62
63,11352,Credit,4508.62,373287.28,2023-04-26 06:02:32.529580,Online,Merchant_260,Transaction_63
64,13395,Debit,8982.46,463615.25,2025-11-14 06:02:32.529584,ATM,Merchant_414,Transaction_64
65,12442,Debit,2360.97,387682.39,2023-09-29 06:02:32.529588,Online,Merchant_128,Transaction_65
66,2112,Credit,9352.75,106877.15,2022-11-20 06:02:32.529592,Online,Merchant_98,Transaction_66
67,12415,Credit,8986.63,265928.43,2025-12-10 06:02:32.529595,ATM,Merchant_238,Transaction_67
68,14217,Debit,2528.62,32735.51,2022-06-10 06:02:32.529598,Online,Merchant_367,Transaction_68
69,13338,Credit,6989.91,158751.14,2023-07-08 06:02:32.529601,Branch,Merchant_219,Transaction_69
70,271,Debit,7807.55,149853.3,2024-07-30 06:02:32.529605,UPI,Merchant_433,Transaction_70
71,427,Credit,3372.18,368392.14,2021-07-07 06:02:32.529610,Online,Merchant_317,Transaction_71
72,10728,Debit,6411.31,1300.39,2020-11-16 06:02:32.529614,Branch,,Transaction_72
73,11917,Debit,3518.99,414885.75,2024-10-29 06:02:32.529618,ATM,,Transaction_73
74,3460,Credit,2986.54,191441.64,2025-06-28 06:02:32.529621,Online,Merchant_436,Transaction_74
75,2287,Debit,7572.96,224118.59,2023-05-19 06:02:32.529624,Online,,Transaction_75
76,6195,Credit,9001.94,75306.22,2022-11-26 06:02:32.529628,ATM,Merchant_103,Transaction_76
77,11506,Debit,1217.98,126363.22,2022-05-27 06:02:32.529631,UPI,Merchant_3,Transaction_77
78,5568,Credit,1794.45,237260.5,2021-02-11 06:02:32.529635,ATM,Merchant_38,Transaction_78
79,11597,Debit,8100.3,244451.55,2025-07-04 06:02:32.529639,UPI,Merchant_18,Transaction_79
80,293,Debit,7804.35,258170.94,2024-03-09 06:02:32.529642,Online,,Transaction_80
81,9935,Debit,8088.0,63151.7,2024-04-14 06:02:32.529646,ATM,Merchant_234,Transaction_81
82,4318,Debit,2702.62,303452.04,2025-12-07 06:02:32.529649,UPI,Merchant_55,Transaction_82
83,13672,Credit,2516.28,298128.71,2025-07-05 06:02:32.529653,Branch,,Transaction_83
84,12472,Credit,9191.62,121191.88,2024-11-07 06:02:32.529656,Online,Merchant_106,Transaction_84
85,13963,Debit,3326.26,56097.97,2021-03-19 06:02:32.529660,Online,Merchant_199,Transaction_85
86,13642,Credit,7635.76,312107.05,2023-08-02 06:02:32.529663,Online,Merchant_269,Transaction_86
